"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconMinusLarge\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusLarge3\IconPlusLarge3.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusLarge3\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusSmall\IconPlusSmall.jsx", "JavaScript JSX", 0, 0, 15, 4, 3, 22
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconPlusSmall\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSaveFloppy\IconSaveFloppy.jsx", "JavaScript JSX", 0, 0, 27, 4, 3, 34
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSaveFloppy\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSearch\IconSearch.jsx", "JavaScript JSX", 0, 0, 21, 4, 3, 28
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconSearch\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconUpload\IconUpload.jsx", "JavaScript JSX", 0, 0, 20, 4, 3, 27
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\IconUpload\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Line\Line.jsx", "JavaScript JSX", 0, 0, 25, 4, 3, 32
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Line\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path13\Path13.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path13\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\icons\Path28\Path28.jsx", "JavaScript JSX", 0, 0, 19, 4, 3, 26
